,adress,club,club_team,competition,date,id,jury,league,stadium,team_full,weapon
20,"Meroedgener Straße 37, 52459 Inden/Altdorf",PSSnden/Altdorf,I,3,2017-12-10,LG2.West3A,Martin Viehöver,2.West,A,PSS Inden/Altdorf,Luftgewehr
21,"Schießsportanlage Schützenheide, An der Schützenheide 17,59192 Bergkamen",SV Kamen,,3,2017-12-10,LG2.West3B,Helmut Stepputtis,2.West,B,SV Kamen,Luftgewehr
22,"Max-Riegel-Halle in 34225 Baunatal, Altenritter Straße",SSV Baunatal,,4,2018-01-14,LG2.West4A,Frank Sczeburek,2.West,A,SSV Baunatal,Luftgewehr
23,Sportzentrum Schürenkamp,BSV Buer-Bülse,II,4,2018-01-14,LG2.West4B,Helmut Stepputtis,2.West,B,BSV Buer-Bülse II,Luftgewehr
24,"Schützenhaus, Lembergweg 60, 71563 Affalterbach",SV Affalterbach,,1,2017-10-15,LG2.Südwest1A,Dr. Walter Horlacher,2.Südwest,A,SV Affalterbach,Luftgewehr
25,Turn- und Festhalle Wetzisreute in Schlier,SV Fenken,,1,2017-10-15,LG2.Südwest1B,Günter Sanwald,2.Südwest,B,SV Fenken,Luftgewehr
26,IGS Sporthalle Rheinzabern,SV Jockgrim,,2,2017-11-12,LG2.Südwest2A,Gerd Schmeil,2.Südwest,A,SV Jockgrim,Luftgewehr
27,Schützenhaus Heitersheim,KKSV Heitersheim,,2,2017-11-12,LG2.Südwest2B,Dieter Schweinlin,2.Südwest,B,KKSV Heitersheim,Luftgewehr
28,Mehrzweckhalle Schopp,SV Schopp,,3,2017-12-10,LG2.Südwest3A,Franz Möndel,2.Südwest,A,SV Schopp,Luftgewehr
29,Schützenhaus SSV Leingarten,SSV Leingarten,,3,2017-12-10,LG2.Südwest3B,Dr. Walter Horlacher,2.Südwest,B,SSV Leingarten,Luftgewehr
30,"Sporthalle Heylinschule,  Königsbach-Stein/ OT Stein",KKS Königsbach,II,4,2018-01-14,LG2.Südwest4A,Walter Johnen,2.Südwest,A,KKS Königsbach II,Luftgewehr
31,"Schützenweg 22, SV Gruibingen, 73344 Gruibingen",SV Wiesensteig,,4,2018-01-14,LG2.Südwest4B,Günter Sanwald,2.Südwest,B,SV Wiesensteig,Luftgewehr
32,Schützenhaus SC Tauberfeld; Wiesenstraße 24 a; 85114  Buxheim – Ortsteil Tauberfeld,SV Petersaurach,2,1,2017-10-15,LG2.Süd1A,Rudolf Diekelmann,2.Süd,A,SV Petersaurach 2,Luftgewehr
33,"Mehrzweckhalle Thalmassing, Luckenpainter Straße 18, 93107 Thalmassing",Gmütlichkeit Luckenpaint e.V.,,1,2017-10-15,LG2.Süd1B,Konrad Jaeggi,2.Süd,B,Gmütlichkeit Luckenpaint e.V.,Luftgewehr
34,"Schützenheim der Singoldschützen Großaitingen, Schützenstraße 16,  86845 Großaitingen",Singoldschützen Großaitingen,,1,2017-10-15,LG2.Süd1C,Susanne Müller,2.Süd,C,Singoldschützen Großaitingen,Luftgewehr
35,"Schützenhaus Am Kreuzberg 2, 85135 Titting, Tel.: 0170-1501805",Kgl. Priv. FSG Titting,,2,2017-10-29,LG2.Süd2A,Werner Marxreiter,2.Süd,A,Kgl. Priv. FSG Titting,Luftgewehr
36,"Regnitzarena, Georg-Kügel-Ring 3, 96114 Hirschaid",Andreas Hofer Sassanfahr,,2,2017-10-29,LG2.Süd2B,Walter Horcher,2.Süd,B,Andreas Hofer Sassanfahr,Luftgewehr
37,"Sportschuetzen Kastl, Jahnstr. 6, 95506 Kastl",Hubertus Kastl,,2,2017-10-29,LG2.Süd2C,Ludwig Mayer,2.Süd,C,Hubertus Kastl,Luftgewehr
38,"Schützenhaus Am Kreuzberg 2, 85135 Titting, Tel.: 0170-1501805",Kgl. Priv. FSG Titting,,3,2017-11-12,LG2.Süd3A,Rudolf Diekelmann,2.Süd,A,Kgl. Priv. FSG Titting,Luftgewehr
39,"Schützenheim in 94447 Plattling, Straubinger Straße 31 a",Post SV Plattling,,3,2017-11-12,LG2.Süd3B,,2.Süd,B,Post SV Plattling,Luftgewehr
40,,Buchenlaub Buch am Buchrain,,3,2017-11-12,LG2.Süd3C,Monika Schiller,2.Süd,C,Buchenlaub Buch am Buchrain,Luftgewehr
41,"Servetstraße 1, 80999 München",Der Bund München,2,4,2017-11-26,LG2.Süd4A,,2.Süd,A,FSG Der Bund München 2,Luftgewehr
42,,Buchenlaub Buch am Buchrain,,4,2017-11-26,LG2.Süd4B,Gregor Liebe,2.Süd,B,Buchenlaub Buch am Buchrain,Luftgewehr
43,"Schützenheim, Lindauer Straße 173, 87435 Kempten",FSG Kempten,,4,2017-11-26,LG2.Süd4C,Wilfried Hege,2.Süd,C,FSG Kempten,Luftgewehr
44,Schützenhaus SV 1889 Ickelheim; Schützenstraße 7; 91438  Bad Windsheim – Ortsteil Ickelheim,SV Petersaurach,II,5,2017-12-10,LG2.Süd5A,Karl-Heinz Gegner,2.Süd,A,SV Petersaurach II,Luftgewehr
45,"Schützengaststätte ""La Pergola Unterstall, Am sportplatz 1, 86673 Bergheim",Eichenlaub Unterstall,,5,2017-12-10,LG2.Süd5B,Rudolf Diekelmann,2.Süd,B,Eichenlaub Unterstall,Luftgewehr
46,"Sportschuetzen Kastl, Jahnstr. 6, 95506 Kastl",Hubertus Kastl,,5,2017-12-10,LG2.Süd5C,Ludwig Mayer,2.Süd,C,Hubertus Kastl,Luftgewehr
47,"Servetstraße 1, 80999 München",Der Bund München,2,6,2018-01-14,LG2.Süd6A,Gregor Liebe,2.Süd,A,FSG Der Bund München 2,Luftgewehr
48,"Schützenhaus Zaitzkofen, Zaitzkofen 50, 84069 Schierling",SG Zaitzkofen,,6,2018-01-14,LG2.Süd6B,,2.Süd,B,SG Zaitzkofen,Luftgewehr
49,,Buchenlaub Buch am Buchrain,,6,2018-01-14,LG2.Süd6C,Christian Schiller,2.Süd,C,Buchenlaub Buch am Buchrain,Luftgewehr
50,"Kreissporthalle am Schulzentrum, 56203 Höhr-Grenzhausen",TuS Hilgert,,1,2017-10-14,LG1.Nord1A,Dr. Alexander Degen,1.Nord,A,TuS Hilgert,Luftgewehr
51,"Sportpark Schürenkamp, Grenzstraße 1, 45881 Gelsenkirchen",BSV Buer-Bülse,I,1,2017-10-14,LG1.Nord1B,Klaus Tacke,1.Nord,B,BSV Buer-Bülse I,Luftgewehr
52,"Kreissporthalle am Schulzentrum, 56203 Höhr-Grenzhausen",TuS Hilgert,,2,2017-10-15,LG1.Nord2A,Dr. Alexander Degen,1.Nord,A,TuS Hilgert,Luftgewehr
53,"Sportpark Schürenkamp, Grenzstraße 1, 45881 Gelsenkirchen",BSV Buer-Bülse,I,2,2017-10-15,LG1.Nord2B,Klaus Tacke,1.Nord,B,BSV Buer-Bülse I,Luftgewehr
54,"Turnhalle Freizeitpark Wietze, Fuhrberger Str., 29323 Wietze",SV Wieckenberg,,3,2017-10-28,LG1.Nord3A,Werner Bösche,1.Nord,A,SV Wieckenberg,Luftgewehr
55,"Sport- und Kulturzentrum, Hauptstraße 31B, 06369 Weißandt-Gölzau",SV Gölzau,I,3,2017-10-28,LG1.Nord3B,Rolf-Dieter Praßler,1.Nord,B,SV Gölzau I,Luftgewehr
56,"Turnhalle Freizeitpark Wietze, Fuhrberger Str., 29323 Wietze",SV Wieckenberg,,4,2017-10-29,LG1.Nord4A,Werner Bösche,1.Nord,A,SV Wieckenberg,Luftgewehr
57,"Sport- und Kulturzentrum, Hauptstraße 31B, 06369 Weißandt-Gölzau",SV Gölzau,I,4,2017-10-29,LG1.Nord4B,Rolf-Dieter Praßler,1.Nord,B,SV Gölzau I,Luftgewehr
58,"Sporthalle an der Jahnstraße 2, 31171 Nordstemmen",KKS Nordstemmen,I,5,2017-11-11,LG1.Nord5A,Reinhard Zimmer,1.Nord,A,KKS Nordstemmen I,Luftgewehr
59,"Sporthalle der OBS Badenhausen, Am Johannisborn, 37539 Bad Grund (Harz) / Badenhausen",SB Freiheit,I,5,2017-11-11,LG1.Nord5B,Wilfried Große,1.Nord,B,SB Freiheit I,Luftgewehr
60,"Sporthalle an der Jahnstraße 2, 31171 Nordstemmen",KKS Nordstemmen,I,6,2017-11-12,LG1.Nord6A,Reinhard Zimmer,1.Nord,A,KKS Nordstemmen I,Luftgewehr
61,"Sporthalle der OBS Badenhausen, Am Johannisborn, 37539 Bad Grund (Harz) / Badenhausen",SB Freiheit,I,6,2017-11-12,LG1.Nord6B,Wilfried Große,1.Nord,B,SB Freiheit I,Luftgewehr
62,Sporthalle der Gesamtschule Broitzem Krukweg 38122 Braunschweig,Braunschweiger SG 1545,,7,2017-11-25,LG1.Nord7A,Wilfried Große,1.Nord,A,Braunschweiger SG 1545,Luftgewehr
63,"Freiherr-vom-Stein-Gymnasium, Karl-Koßmann-Straße 2, 59071 Hamm",SG Hamm,I,7,2017-11-25,LG1.Nord7B,Reinhard Zimmer,1.Nord,B,SG Hamm I,Luftgewehr
64,"Großsporthalle in 36272 Niederaula, Hattenbacher Str.15",SG 1920 Mengshausen,,8,2017-12-09,LG1.Nord8A,Lutz Hans Schlegel,1.Nord,A,SG 1920 Mengshausen,Luftgewehr
65,"Dreifachturnhalle Nesthauserstr. 8, 33106 Paderborn",ST Hubertus Elsen,,8,2017-12-09,LG1.Nord8B,Günter Sportelli,1.Nord,B,ST Hubertus Elsen,Luftgewehr
66,"Großsporthalle in 36272 Niederaula, Hattenbacher Str.15",SG 1920 Mengshausen,,9,2017-12-10,LG1.Nord9A,Lutz Hans Schlegel,1.Nord,A,SG 1920 Mengshausen,Luftgewehr
67,"Dreifachturnhalle Nesthauserstr. 8, 33106 Paderborn",ST Hubertus Elsen,,9,2017-12-10,LG1.Nord9B,Günter Sportelli,1.Nord,B,ST Hubertus Elsen,Luftgewehr
68,"47623 Kevelaer Zweifachturnhalle Sportzentrum Kevelaer-Hüls , Hoogemittagsweg",SSG Kevelaer,,10,2018-01-13,LG1.Nord10A,Klaus Tacke,1.Nord,A,SSG Kevelaer,Luftgewehr
69,"Großsporthalle der Realschule plus in der Pirzenthalerstraße auf dem ""Altbel""",Wissener SV,,10,2018-01-13,LG1.Nord10B,Helmut Meyer,1.Nord,B,Wissener SV,Luftgewehr
70,"47623 Kevelaer Zweifachturnhalle Sportzentrum Kevelaer-Hüls , Hoogemittagsweg",SSG Kevelaer,,11,2018-01-14,LG1.Nord11A,Klaus Tacke,1.Nord,A,SSG Kevelaer,Luftgewehr
71,"Großsporthalle der Realschule plus in der Pirzenthalerstraße auf dem ""Altbel""",Wissener SV,,11,2018-01-14,LG1.Nord11B,Helmut Meyer,1.Nord,B,Wissener SV,Luftgewehr
72,"Sporthalle Heylinschule,  Königsbach-Stein/ OT Stein, Heynlinstraße",KKS Königsbach,,1,2017-10-14,LG1.Süd1A,Franz Möndel,1.Süd,A,KKS Königsbach,Luftgewehr
73,"Tenniscenter Allach, Paul-Ehrlich-Weg 6, 80999 München",Der Bund München,,1,2017-10-14,LG1.Süd1B,Patric Fürnhammer,1.Süd,B,Der Bund München,Luftgewehr
74,"Sporthalle Heylinschule,  Königsbach-Stein/ OT Stein, Heynlinstraße",KKS Königsbach,,2,2017-10-15,LG1.Süd2A,Franz Möndel,1.Süd,A,KKS Königsbach,Luftgewehr
75,"Tenniscenter Allach, Paul-Ehrlich-Weg 6, 80999 München",Der Bund München,,2,2017-10-15,LG1.Süd2B,Patric Fürnhammer,1.Süd,B,Der Bund München,Luftgewehr
76,"Schulturnhalle Wicklesgreuther Straße, 91580 Petersaurach",SV Petersaurach,,3,2017-10-28,LG1.Süd3A,Karl-Heinz Gegner,1.Süd,A,SV Petersaurach,Luftgewehr
77,"„Sporthalle am Anger“, Schützenstr. 2, 96450 Coburg",SG Coburg,,3,2017-10-28,LG1.Süd3B,Rudolf Diekelmann,1.Süd,B,SG Coburg,Luftgewehr
78,"Schulturnhalle Wicklesgreuther Straße, 91580 Petersaurach",SV Petersaurach,,4,2017-10-29,LG1.Süd4A,Karl-Heinz Gegner,1.Süd,A,SV Petersaurach,Luftgewehr
79,"„Sporthalle am Anger“, Schützenstr. 2, 96450 Coburg",SG Coburg,,4,2017-10-29,LG1.Süd4B,Rudolf Diekelmann,1.Süd,B,SG Coburg,Luftgewehr
80,"Siegelhalle, Sportweg 3, 85283 Wolnzach",SV Niederlauterbach,,5,2017-11-11,LG1.Süd5A,Werner Marxreiter,1.Süd,A,SV Niederlauterbach,Luftgewehr
81,"3fach Turnhalle der Sporthalle Teublitz, Im Schlossgarten 9, 93158 Teublitz",Eichenlaub Saltendorf,,5,2017-11-11,LG1.Süd5B,Ludwig Mayer,1.Süd,B,Eichenlaub Saltendorf,Luftgewehr
82,"Siegelhalle, Sportweg 3, 85283 Wolnzach",SV Niederlauterbach,,6,2017-11-12,LG1.Süd6A,Werner Marxreiter,1.Süd,A,SV Niederlauterbach,Luftgewehr
83,"3fach Turnhalle der Sporthalle Teublitz, Im Schlossgarten 9, 93158 Teublitz",Eichenlaub Saltendorf,,6,2017-11-12,LG1.Süd6B,Ludwig Mayer,1.Süd,B,Eichenlaub Saltendorf,Luftgewehr
84,"Mehrzweckhalle Illerberg, Neue Welt 8, 89269 Vöhringen-Illerberg",SV Pfeil Vöhringen,,7,2017-11-25,LG1.Süd7A,Susanne Müller,1.Süd,A,SV Pfeil Vöhringen,Luftgewehr
85,"Jagsttalhalle,Strutrain 4,73492 Rainau-Schwabsberg",SV Buch,,7,2017-11-25,LG1.Süd7B,Franz Möndel,1.Süd,B,SV Buch,Luftgewehr
86,"Mehrzweckhalle Jahnstraße 10, 76709 Kronau",SSV Kronau,,8,2017-12-09,LG1.Süd8A,Gerd Schmeil,1.Süd,A,SSV Kronau,Luftgewehr
87,"Sporthalle Hebertshausen, Freisinger Straße, 85241 Hebertshausen",SV Germ. Prittlbach,,8,2017-12-09,LG1.Süd8B,Susanne Müller,1.Süd,B,SV Germ. Prittlbach,Luftgewehr
88,"Mehrzweckhalle Jahnstraße 10, 76709 Kronau",SSV Kronau,,9,2017-12-10,LG1.Süd9A,Gerd Schmeil,1.Süd,A,SSV Kronau,Luftgewehr
89,"Sporthalle Hebertshausen, Freisinger Straße, 85241 Hebertshausen",SV Germ. Prittlbach,,9,2017-12-10,LG1.Süd9B,Susanne Müller,1.Süd,B,SV Germ. Prittlbach,Luftgewehr
90,"Sportzentrum Greuther Fürth, Kronacher Str. 140, 90765 Fürth",SSG Dynamit-Fürth,,10,2018-01-13,LG1.Süd10A,Rudolf Diekelmann,1.Süd,A,SSG Dynamit-Fürth,Luftgewehr
91,"Salinen-Sporthalle Bad Dürrheim, 78073 Bad Dürrheim",SSVG Brigachtal,,10,2018-01-13,LG1.Süd10B,Jürgen Karl,1.Süd,B,SSVG Brigachtal,Luftgewehr
92,"Sportzentrum Greuther Fürth, Kronacher Str. 140, 90765 Fürth",SSG Dynamit-Fürth,,11,2018-01-14,LG1.Süd11A,Rudolf Diekelmann,1.Süd,A,SSG Dynamit-Fürth,Luftgewehr
93,"Salinen-Sporthalle Bad Dürrheim, 78073 Bad Dürrheim",SSVG Brigachtal,,11,2018-01-14,LG1.Süd11B,Jürgen Karl,1.Süd,B,SSVG Brigachtal,Luftgewehr
94,"Am Schießstand 14, 24768 Rendsburg",PC Rendsburg,,1,2017-10-08,LP2.Nord1A,Volker Kuhr,2.Nord,A,PC Rendsburg,Luftpistole
95,,,,1,2017-10-08,LP2.Nord1B,0,2.Nord,B,,Luftpistole
96,Bundesleistungszentrum in Hannover,SV Groß und Kleinkaliber,,2,2017-11-05,LP2.Nord2A,Dieter Grämer,2.Nord,A,SV Groß und Kleinkaliber,Luftpistole
97,"Schießstand Kutenholz, Schützenstr. 12, 27449 Kutenholz",SV Kutenholz,,2,2017-11-05,LP2.Nord2B,,2.Nord,B,SV Kutenholz,Luftpistole
98,"Wandsbeker SGi, Marienthaler Str. 178, 22043 Hamburg",Wandsbeker SGi,,3,2017-12-03,LP2.Nord3A,Peter Hilke,2.Nord,A,Wandsbeker SGi,Luftpistole
99,"Stoppelmarkt 25, 49337 Vechta",SV Stoppelmarkt,,3,2017-12-03,LP2.Nord3B,Uwe Sußmann,2.Nord,B,SV Stoppelmarkt,Luftpistole
100,"Treffpunkt Haendorf, Haendorfer Weg 10a, 27330 Asendorf",SV Haendorf,,4,2018-01-07,LP2.Nord4A,Uwe Sußmann,2.Nord,A,SV Haendorf,Luftpistole
101,Mannschaftspunkte,Verein,,4,2018-01-07,LP2.Nord4B,GTV Bremerhaven-Seestadtteufel,2.Nord,B,Verein,Luftpistole
102,"Walther Arena, Kirschweg 23, 12524 Berlin",PSV Olympia Berlin,II,1,2017-10-08,LP2.Ost1A,Michael Naumann,2.Ost,A,PSV Olympia Berlin II,Luftpistole
103,,,,1,2017-10-08,LP2.Ost1B,1,2.Ost,B,,Luftpistole
104,"Walther Arena, Kirschweg 23, 12524 Berlin",PSV Olympia Berlin,II,2,2017-11-05,LP2.Ost2A,Frank Schwarz,2.Ost,A,PSV Olympia Berlin II,Luftpistole
105,Mannschaftspunkte,Verein,,2,2017-11-05,LP2.Ost2B,PSV Olympia Berlin II,2.Ost,B,Verein,Luftpistole
106,"Eisenhüttenstädter Chaussee 55, 15236 Frankfurt/Oder, Tel.: 0335-542361",Schützengilde Frankfurt/Oder 1406,,3,2017-12-03,LP2.Ost3A,Maria K.D. Preihs,2.Ost,A,Schützengilde Frankfurt/Oder 1406,Luftpistole
107,Mannschaftspunkte,Verein,,3,2017-12-03,LP2.Ost3B,PSV Olympia Berlin II,2.Ost,B,Verein,Luftpistole
108,"Eisenhüttenstädter Chaussee 55, 15236 Frankfurt/Oder, Tel.: 0335-542361",Schützengilde Frankfurt/Oder 1406,,4,2018-01-07,LP2.Ost4A,Birgit Rauhut,2.Ost,A,Schützengilde Frankfurt/Oder 1406,Luftpistole
109,Mannschaftspunkte,Verein,,4,2018-01-07,LP2.Ost4B,PSV Olympia Berlin II,2.Ost,B,Verein,Luftpistole
110,"34246 Obervellmar, Mittelring 18, Großsporthalle",SV Hegelsberg-Vellmar,,1,2017-10-08,LP2.West1A,Harald Temme,2.West,A,SV Hegelsberg-Vellmar,Luftpistole
111,,,,1,2017-10-08,LP2.West1B,1,2.West,B,,Luftpistole
112,"Goldene 10 Ravolzhausen, Zentrale Sportanlage, ,63543 Neuberg",SC Windecken,,2,2017-11-05,LP2.West2A,Werner Bauscher,2.West,A,SC Windecken,Luftpistole
113,"Friesdorfer Straße 244a, 53175 Bonn",SpSch Ännchen Bad Godesberg,,2,2017-11-05,LP2.West2B,Hartmut Weiß,2.West,B,SpSch Ännchen Bad Godesberg,Luftpistole
114,Usingen - OT Eschbach Schulstraße 1  (Bürgerhaus) www.sv1900eschbach.de,SV Usingen,,3,2017-12-03,LP2.West3A,Bernhard Tems,2.West,A,SV Usingen,Luftpistole
115,"Bonnstraße 125, 50321 Brühl (Einfahrt: Zum Schützenplatz)",Brühler Schießclub 70,,3,2017-12-03,LP2.West3B,Hans Pohl,2.West,B,Brühler Schießclub 70,Luftpistole
116,"65187 Wiesbaden, Erich-Ollenhauer-Straße 30, Tel.",SV Biebrich 1864,,4,2018-01-07,LP2.West4A,Markus Weber,2.West,A,SV Biebrich 1864,Luftpistole
117,"Am Schottenteich 1, 59597 Bad Westernkotten",SSV Bad Westernkotten,,4,2018-01-07,LP2.West4B,Helmut Stepputtis,2.West,B,SSV Bad Westernkotten,Luftpistole
118,Schützenhaus des SV Sandhausen,SSV Sandhausen,,1,2017-10-08,LP2.Südwest1A,Dr. Walter Horlacher,2.Südwest,A,SSV Sandhausen,Luftpistole
119,,,,1,2017-10-08,LP2.Südwest1B,0,2.Südwest,B,,Luftpistole
120,"im Schützenhaus, SV Eckartshausen",SV Eckartshausen,,2,2017-11-05,LP2.Südwest2A,Werner Merkle,2.Südwest,A,SV Eckartshausen,Luftpistole
121,,SGi Ebersbach,,2,2017-11-05,LP2.Südwest2B,Franz Möndel,2.Südwest,B,SGi Ebersbach,Luftpistole
122,Schützenhaus Walldorf,SV Walldorf,,3,2017-12-03,LP2.Südwest3A,Werner Merkle,2.Südwest,A,SV Walldorf,Luftpistole
123,Schützenhaus 79232 March,Sportschützen  March,,3,2017-12-03,LP2.Südwest3B,Jürgen Karl,2.Südwest,B,Sportschützen  March,Luftpistole
124,Schützenhaus des SV Laubach,SKam Aalen-Nesslau,,4,2018-01-07,LP2.Südwest4A,Werner Merkle,2.Südwest,A,SKam Aalen-Nesslau,Luftpistole
125,"Sporthalle Stadtmitte, 73230 Kirchheim, Jahnstraße",TSV Ötlingen - SpSchAbtl.,,4,2018-01-07,LP2.Südwest4B,Walter Johnen,2.Südwest,B,TSV Ötlingen - SpSchAbtl.,Luftpistole
126,"Waldschießhaus, Spardorfer Straße 80, 91054 Erlangen",HSG Erlangen,,1,2017-10-08,LP2.Süd1A,Walter Horcher,2.Süd,A,HSG Erlangen,Luftpistole
127,,,,1,2017-10-08,LP2.Süd1B,1,2.Süd,B,,Luftpistole
128,,,,1,2017-10-08,LP2.Süd1C,0,2.Süd,C,,Luftpistole
129,"Adlerschützen Unteriglbach, Erlengrund, 94496 Ortenburg",Adlerschützen Unteriglbach,,2,2017-10-22,LP2.Süd2A,Horst Degenhart,2.Süd,A,Adlerschützen Unteriglbach,Luftpistole
130,"Schützenheim,  86845 Großaitingen, Schützenstraße 16 a",Singoldschützen Großaitingen,,2,2017-10-22,LP2.Süd2B,Susanne Müller,2.Süd,B,Singoldschützen Großaitingen,Luftpistole
131,Schützenhaus der SG 1898 Thumsenreuth Hammerweg 8,SG 1898 Thumsenreuth,,2,2017-10-22,LP2.Süd2C,Ludwig Mayer,2.Süd,C,SG 1898 Thumsenreuth,Luftpistole
132,"SSG Dynamith Fürth, Kronacher Str. 63, 90765 Fürth",SSG Dynamit Fürth,II,3,2017-11-05,LP2.Süd3A,Gabriele Horbaschek,2.Süd,A,SSG Dynamit Fürth II,Luftpistole
133,"Gasthaus Taubeneder, Grund 2, 94099 Ruhstorf",Bogenschützen Grund,,3,2017-11-05,LP2.Süd3B,Horst Degenhart,2.Süd,B,Bogenschützen Grund,Luftpistole
134,"Leistungszentrum des OSB, Schützenstraße 99, 92536 Pfreimd",Auerhahn Steinberg,,3,2017-11-05,LP2.Süd3C,Ludwig Mayer,2.Süd,C,Auerhahn Steinberg,Luftpistole
135,"Kgl. priv. FSG Der Bund München, Servetstr. 1, 80999 München",SG Eintracht Garching,,4,2017-11-19,LP2.Süd4A,Gregor Liebe,2.Süd,A,SG Eintracht Garching,Luftpistole
136,"Adlerschützen Unteriglbach, Erlengrund, 94496 Ortenburg",Adlerschützen Unteriglbach,,4,2017-11-19,LP2.Süd4B,Horst Degenhart,2.Süd,B,Adlerschützen Unteriglbach,Luftpistole
137,"Schützenheim,  86845 Großaitingen, Schützenstraße 16 a",Singoldschützen Großaitingen,,4,2017-11-19,LP2.Süd4C,,2.Süd,C,Singoldschützen Großaitingen,Luftpistole
138,"SSG Dynamith Fürth, Kronacher Str. 63, 90765 Fürth",SSG Dynamit Fürth,II,5,2017-12-03,LP2.Süd5A,Gabriele Horbaschek,2.Süd,A,SSG Dynamit Fürth II,Luftpistole
139,"Am Kreuzwirtskeller 5, 91161 Hilpoltstein",FSG Hilpoltstein,,5,2017-12-03,LP2.Süd5B,Rudolf Diekelmann,2.Süd,B,FSG Hilpoltstein,Luftpistole
140,"Schießleistungszentrum Donaugau, Höhenhof 15, 93083 Obertraubling",SV Kelheim-Gmünd,II,5,2017-12-03,LP2.Süd5C,Werner Marxreiter,2.Süd,C,SV Kelheim-Gmünd II,Luftpistole
141,"Waldschießhaus, Spardorfer Straße 80, 91054 Erlangen",HSG Erlangen,,6,2018-01-07,LP2.Süd6A,Walter Horcher,2.Süd,A,HSG Erlangen,Luftpistole
142,"Gasthaus Taubeneder, Grund 2, 94099 Ruhstorf",Bogenschützen Grund,,6,2018-01-07,LP2.Süd6B,Horst Degenhart,2.Süd,B,Bogenschützen Grund,Luftpistole
